Mod:Item:MetaData, Localized Name
advanced_solar_panels:crafting:9, 光辉铱铁合金板
advanced_solar_panels:crafting:10, 铱锭
advanced_solar_panels:crafting:11, 铀锭
advanced_solar_panels:crafting:12, 分子重组核心
advanced_solar_panels:crafting:13, 量子核心
advanced_solar_panels:double_stone_slab, 石台阶
forge:bucketfilled, %s桶
appliedenergistics2:quartz_ore, 赛特斯石英矿石
appliedenergistics2:charged_quartz_ore, 充能赛特斯石英矿石
appliedenergistics2:matrix_frame, 矩阵框架
appliedenergistics2:quartz_block, 赛特斯石英块
appliedenergistics2:quartz_pillar, 竖纹赛特斯石英块
appliedenergistics2:chiseled_quartz_block, 錾制赛特斯石英块
appliedenergistics2:quartz_glass, 石英玻璃
appliedenergistics2:quartz_vibrant_glass, 聚能石英玻璃
appliedenergistics2:quartz_fixture, 充能石英火把
appliedenergistics2:fluix_block, 福鲁伊克斯块
appliedenergistics2:sky_stone_block, 陨石
appliedenergistics2:smooth_sky_stone_block, 陨石块
appliedenergistics2:sky_stone_brick, 陨石石砖
appliedenergistics2:sky_stone_small_brick, 陨石砖块
appliedenergistics2:sky_stone_chest, 陨石箱子
appliedenergistics2:smooth_sky_stone_chest, 陨石块箱子
appliedenergistics2:sky_compass, 陨石罗盘
appliedenergistics2:grindstone, 石英磨具
appliedenergistics2:crank, 木质曲柄
appliedenergistics2:inscriber, 压印器
appliedenergistics2:wireless_access_point, ME无线访问点
appliedenergistics2:charger, 充能器
appliedenergistics2:tiny_tnt, 迷你TNT
appliedenergistics2:security_station, ME安全终端
appliedenergistics2:quantum_ring, ME量子环
appliedenergistics2:quantum_link, ME量子链接仓
appliedenergistics2:spatial_pylon, 空间塔
appliedenergistics2:spatial_io_port, 空间IO端口
appliedenergistics2:controller, ME控制器
appliedenergistics2:drive, ME驱动器
appliedenergistics2:chest, ME箱子
appliedenergistics2:interface, ME接口
appliedenergistics2:fluid_interface, ME流体接口
appliedenergistics2:cell_workbench, 元件工作台
appliedenergistics2:io_port, ME-IO端口
appliedenergistics2:condenser, 物质聚合器
appliedenergistics2:energy_acceptor, 能源接收器
appliedenergistics2:vibration_chamber, 谐振仓
appliedenergistics2:quartz_growth_accelerator, 晶体催生器
appliedenergistics2:energy_cell, 能源元件
appliedenergistics2:dense_energy_cell, 致密能源元件
appliedenergistics2:creative_energy_cell, 创造能源元件
appliedenergistics2:crafting_unit, 合成单元
appliedenergistics2:crafting_accelerator, 并行处理单元
appliedenergistics2:crafting_storage_1k, 1k合成存储器
appliedenergistics2:crafting_storage_4k, 4k合成存储器
appliedenergistics2:crafting_storage_16k, 16k合成存储器
appliedenergistics2:crafting_storage_64k, 64k合成存储器
appliedenergistics2:crafting_monitor, 合成监控器
appliedenergistics2:molecular_assembler, 分子装配室
appliedenergistics2:light_detector, 光亮探测器
appliedenergistics2:paint, tile.appliedenergistics2.paint.name
appliedenergistics2:sky_stone_stairs, 陨石楼梯
appliedenergistics2:smooth_sky_stone_stairs, 陨石块楼梯
appliedenergistics2:sky_stone_brick_stairs, 陨石石砖楼梯
appliedenergistics2:sky_stone_small_brick_stairs, 陨石砖块楼梯
appliedenergistics2:fluix_stairs, 福鲁伊克斯楼梯
appliedenergistics2:quartz_stairs, 赛特斯石英楼梯
appliedenergistics2:chiseled_quartz_stairs, 錾制赛特斯石英楼梯
appliedenergistics2:quartz_pillar_stairs, 竖纹赛特斯石英楼梯
appliedenergistics2:cable_bus, AE2线缆和（或）总线
appliedenergistics2:sky_stone_slab:0, 陨石台阶
appliedenergistics2:smooth_sky_stone_slab:0, 陨石块台阶
appliedenergistics2:sky_stone_brick_slab:0, 陨石石砖台阶
appliedenergistics2:sky_stone_small_brick_slab:0, 陨石砖块台阶
appliedenergistics2:fluix_slab:0, 福鲁伊克斯台阶
appliedenergistics2:quartz_slab:0, 赛特斯石英台阶
appliedenergistics2:chiseled_quartz_slab:0, 錾制赛特斯石英台阶
appliedenergistics2:quartz_pillar_slab:0, 竖纹赛特斯石英台阶
appliedenergistics2:certus_quartz_axe, 赛特斯石英斧
appliedenergistics2:certus_quartz_hoe, 赛特斯石英锄
appliedenergistics2:certus_quartz_spade, 赛特斯石英锹
appliedenergistics2:certus_quartz_pickaxe, 赛特斯石英镐
appliedenergistics2:certus_quartz_sword, 赛特斯石英剑
appliedenergistics2:certus_quartz_wrench, 赛特斯石英扳手
appliedenergistics2:certus_quartz_cutting_knife, 赛特斯石英切割刀
appliedenergistics2:nether_quartz_axe, 下界石英斧
appliedenergistics2:nether_quartz_hoe, 下界石英锄
appliedenergistics2:nether_quartz_spade, 下界石英锹
appliedenergistics2:nether_quartz_pickaxe, 下界石英镐
appliedenergistics2:nether_quartz_sword, 下界石英剑
appliedenergistics2:nether_quartz_wrench, 下界石英扳手
appliedenergistics2:nether_quartz_cutting_knife, 下界石英切割刀
appliedenergistics2:entropy_manipulator, 熵变机械臂
appliedenergistics2:wireless_terminal, 无线终端
appliedenergistics2:charged_staff, 充能手杖
appliedenergistics2:matter_cannon, 物质炮
appliedenergistics2:portable_cell, 便携元件
appliedenergistics2:color_applicator, 染色器
appliedenergistics2:biometric_card, 身份卡
appliedenergistics2:memory_card, 内存卡
appliedenergistics2:network_tool, 网络工具
appliedenergistics2:creative_storage_cell, 创造型ME存储元件
appliedenergistics2:view_cell, 显示元件
appliedenergistics2:storage_cell_1k, 1k-ME存储元件
appliedenergistics2:storage_cell_4k, 4k-ME存储元件
appliedenergistics2:storage_cell_16k, 16k-ME存储元件
appliedenergistics2:storage_cell_64k, 64k-ME存储元件
appliedenergistics2:fluid_storage_cell_1k, 1k-ME流体存储元件
appliedenergistics2:fluid_storage_cell_4k, 4k-ME流体存储元件
appliedenergistics2:fluid_storage_cell_16k, 16k-ME流体存储元件
appliedenergistics2:fluid_storage_cell_64k, 64k-ME流体存储元件
appliedenergistics2:spatial_storage_cell_2_cubed, 2³-空间存储元件
appliedenergistics2:spatial_storage_cell_16_cubed, 16³-空间存储元件
appliedenergistics2:spatial_storage_cell_128_cubed, 128³-空间存储元件
appliedenergistics2:facade:0, 线缆伪装板 - 石头
appliedenergistics2:facade:0, 线缆伪装板 - 花岗岩
appliedenergistics2:facade:0, 线缆伪装板 - 磨制花岗岩
appliedenergistics2:facade:0, 线缆伪装板 - 闪长岩
appliedenergistics2:facade:0, 线缆伪装板 - 磨制闪长岩
appliedenergistics2:facade:0, 线缆伪装板 - 安山岩
appliedenergistics2:facade:0, 线缆伪装板 - 磨制安山岩
appliedenergistics2:facade:0, 线缆伪装板 - 草方块
appliedenergistics2:facade:0, 线缆伪装板 - 泥土
appliedenergistics2:facade:0, 线缆伪装板 - 砂土
appliedenergistics2:facade:0, 线缆伪装板 - 灰化土
appliedenergistics2:facade:0, 线缆伪装板 - 圆石
appliedenergistics2:facade:0, 线缆伪装板 - 橡木木板
appliedenergistics2:facade:0, 线缆伪装板 - 云杉木板
appliedenergistics2:facade:0, 线缆伪装板 - 白桦木板
appliedenergistics2:facade:0, 线缆伪装板 - 丛林木板
appliedenergistics2:facade:0, 线缆伪装板 - 金合欢木板
appliedenergistics2:facade:0, 线缆伪装板 - 深色橡木木板
appliedenergistics2:facade:0, 线缆伪装板 - 基岩
appliedenergistics2:facade:0, 线缆伪装板 - 沙子
appliedenergistics2:facade:0, 线缆伪装板 - 红沙
appliedenergistics2:facade:0, 线缆伪装板 - 沙砾
appliedenergistics2:facade:0, 线缆伪装板 - 金矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铁矿石
appliedenergistics2:facade:0, 线缆伪装板 - 煤矿石
appliedenergistics2:facade:0, 线缆伪装板 - 橡木
appliedenergistics2:facade:0, 线缆伪装板 - 云杉木
appliedenergistics2:facade:0, 线缆伪装板 - 白桦木
appliedenergistics2:facade:0, 线缆伪装板 - 丛林木
appliedenergistics2:facade:0, 线缆伪装板 - 橡树树叶
appliedenergistics2:facade:0, 线缆伪装板 - 云杉树叶
appliedenergistics2:facade:0, 线缆伪装板 - 白桦树叶
appliedenergistics2:facade:0, 线缆伪装板 - 丛林树叶
appliedenergistics2:facade:0, 线缆伪装板 - 海绵
appliedenergistics2:facade:0, 线缆伪装板 - 湿海绵
appliedenergistics2:facade:0, 线缆伪装板 - 玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 青金石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 青金石块
appliedenergistics2:facade:0, 线缆伪装板 - 砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 錾制砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 切制砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 白色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 橙色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 品红色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 黄色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 灰色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 青色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 紫色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 棕色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 绿色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 红色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 黑色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 金块
appliedenergistics2:facade:0, 线缆伪装板 - 铁块
appliedenergistics2:facade:0, 线缆伪装板 - 石台阶
appliedenergistics2:facade:0, 线缆伪装板 - 石台阶
appliedenergistics2:facade:0, 线缆伪装板 - 石台阶
appliedenergistics2:facade:0, 线缆伪装板 - 石台阶
appliedenergistics2:facade:0, 线缆伪装板 - 石台阶
appliedenergistics2:facade:0, 线缆伪装板 - 石台阶
appliedenergistics2:facade:0, 线缆伪装板 - 石台阶
appliedenergistics2:facade:0, 线缆伪装板 - 砖块
appliedenergistics2:facade:0, 线缆伪装板 - TNT
appliedenergistics2:facade:0, 线缆伪装板 - 书架
appliedenergistics2:facade:0, 线缆伪装板 - 苔石
appliedenergistics2:facade:0, 线缆伪装板 - 黑曜石
appliedenergistics2:facade:0, 线缆伪装板 - 钻石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 钻石块
appliedenergistics2:facade:0, 线缆伪装板 - 工作台
appliedenergistics2:facade:0, 线缆伪装板 - 红石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 冰
appliedenergistics2:facade:0, 线缆伪装板 - 雪
appliedenergistics2:facade:0, 线缆伪装板 - 粘土块
appliedenergistics2:facade:0, 线缆伪装板 - 南瓜
appliedenergistics2:facade:0, 线缆伪装板 - 地狱岩
appliedenergistics2:facade:0, 线缆伪装板 - 灵魂沙
appliedenergistics2:facade:0, 线缆伪装板 - 荧石
appliedenergistics2:facade:0, 线缆伪装板 - 南瓜灯
appliedenergistics2:facade:0, 线缆伪装板 - 白色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 橙色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 品红色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 黄色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 灰色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 青色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 紫色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 棕色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 绿色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 红色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 黑色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 石头怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 圆石怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 石砖怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 苔石砖怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 裂石砖怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 錾制石砖怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 石砖
appliedenergistics2:facade:0, 线缆伪装板 - 苔石砖
appliedenergistics2:facade:0, 线缆伪装板 - 裂石砖
appliedenergistics2:facade:0, 线缆伪装板 - 錾制石砖
appliedenergistics2:facade:0, 线缆伪装板 - 蘑菇
appliedenergistics2:facade:0, 线缆伪装板 - 蘑菇
appliedenergistics2:facade:0, 线缆伪装板 - 西瓜
appliedenergistics2:facade:0, 线缆伪装板 - 菌丝
appliedenergistics2:facade:0, 线缆伪装板 - 地狱砖
appliedenergistics2:facade:0, 线缆伪装板 - 末地石
appliedenergistics2:facade:0, 线缆伪装板 - 红石灯
appliedenergistics2:facade:0, 线缆伪装板 - 绿宝石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 绿宝石块
appliedenergistics2:facade:0, 线缆伪装板 - 红石块
appliedenergistics2:facade:0, 线缆伪装板 - 下界石英矿石
appliedenergistics2:facade:0, 线缆伪装板 - 石英块
appliedenergistics2:facade:0, 线缆伪装板 - 錾制石英块
appliedenergistics2:facade:0, 线缆伪装板 - 竖纹石英块
appliedenergistics2:facade:0, 线缆伪装板 - 白色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 橙色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 品红色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黄色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 灰色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 青色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 紫色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 棕色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 绿色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 红色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黑色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 金合欢树叶
appliedenergistics2:facade:0, 线缆伪装板 - 深色橡树树叶
appliedenergistics2:facade:0, 线缆伪装板 - 金合欢木
appliedenergistics2:facade:0, 线缆伪装板 - 深色橡木
appliedenergistics2:facade:0, 线缆伪装板 - 粘液块
appliedenergistics2:facade:0, 线缆伪装板 - 海晶石
appliedenergistics2:facade:0, 线缆伪装板 - 海晶石砖
appliedenergistics2:facade:0, 线缆伪装板 - 暗海晶石
appliedenergistics2:facade:0, 线缆伪装板 - 海晶灯
appliedenergistics2:facade:0, 线缆伪装板 - 干草块
appliedenergistics2:facade:0, 线缆伪装板 - 陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 煤炭块
appliedenergistics2:facade:0, 线缆伪装板 - 浮冰
appliedenergistics2:facade:0, 线缆伪装板 - 红砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 錾制红砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 切制红砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 紫珀块
appliedenergistics2:facade:0, 线缆伪装板 - 竖纹紫珀块
appliedenergistics2:facade:0, 线缆伪装板 - 末地石砖
appliedenergistics2:facade:0, 线缆伪装板 - 岩浆块
appliedenergistics2:facade:0, 线缆伪装板 - 地狱疣块
appliedenergistics2:facade:0, 线缆伪装板 - 红色地狱砖
appliedenergistics2:facade:0, 线缆伪装板 - 骨块
appliedenergistics2:facade:0, 线缆伪装板 - 侦测器
appliedenergistics2:facade:0, 线缆伪装板 - 白色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 橙色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 品红色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黄色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 灰色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 青色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 紫色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 棕色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 绿色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 红色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黑色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 白色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 橙色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 品红色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 黄色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 灰色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 青色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 紫色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 棕色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 绿色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 红色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 黑色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 白色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 橙色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 品红色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 黄色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 灰色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 青色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 紫色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 棕色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 绿色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 红色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 黑色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 铜矿石
appliedenergistics2:facade:0, 线缆伪装板 - 锡矿石
appliedenergistics2:facade:0, 线缆伪装板 - 银矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铅矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铝矿石
appliedenergistics2:facade:0, 线缆伪装板 - 镍矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铂矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铱矿石
appliedenergistics2:facade:0, 线缆伪装板 - 蕴魔秘银矿石
appliedenergistics2:facade:0, 线缆伪装板 - 油砂
appliedenergistics2:facade:0, 线缆伪装板 - 油页岩
appliedenergistics2:facade:0, 线缆伪装板 - 不稳定红石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 充能地狱岩
appliedenergistics2:facade:0, 线缆伪装板 - 谐振末影矿石
appliedenergistics2:facade:0, 线缆伪装板 - 油砂
appliedenergistics2:facade:0, 线缆伪装板 - 铜块
appliedenergistics2:facade:0, 线缆伪装板 - 锡块
appliedenergistics2:facade:0, 线缆伪装板 - 银块
appliedenergistics2:facade:0, 线缆伪装板 - 铅块
appliedenergistics2:facade:0, 线缆伪装板 - 铝块
appliedenergistics2:facade:0, 线缆伪装板 - 镍块
appliedenergistics2:facade:0, 线缆伪装板 - 铂块
appliedenergistics2:facade:0, 线缆伪装板 - 铱块
appliedenergistics2:facade:0, 线缆伪装板 - 蕴魔秘银块
appliedenergistics2:facade:0, 线缆伪装板 - 钢块
appliedenergistics2:facade:0, 线缆伪装板 - 琥珀金块
appliedenergistics2:facade:0, 线缆伪装板 - 殷钢块
appliedenergistics2:facade:0, 线缆伪装板 - 青铜块
appliedenergistics2:facade:0, 线缆伪装板 - 康铜块
appliedenergistics2:facade:0, 线缆伪装板 - 信素块
appliedenergistics2:facade:0, 线缆伪装板 - 流明块
appliedenergistics2:facade:0, 线缆伪装板 - 末影块
appliedenergistics2:facade:0, 线缆伪装板 - 木炭块
appliedenergistics2:facade:0, 线缆伪装板 - 焦炭块
appliedenergistics2:facade:0, 线缆伪装板 - 黑色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 红色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 绿色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 棕色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 紫色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 青色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 灰色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 黄色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 品红色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 橙色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 白色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 龙矿石
appliedenergistics2:facade:0, 线缆伪装板 - 下界龙矿石
appliedenergistics2:facade:0, 线缆伪装板 - 末地龙矿石
appliedenergistics2:facade:0, 线缆伪装板 - 龙块
appliedenergistics2:facade:0, 线缆伪装板 - 充能龙块
appliedenergistics2:facade:0, 线缆伪装板 - 觉醒龙块
appliedenergistics2:facade:0, 线缆伪装板 - 注入龙力的黑曜石
appliedenergistics2:facade:0, 线缆伪装板 - 物品磁铁消磁器
appliedenergistics2:facade:0, 线缆伪装板 - 玄武岩
appliedenergistics2:facade:0, 线缆伪装板 - 铜矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铅矿石
appliedenergistics2:facade:0, 线缆伪装板 - 锡矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铀矿石
appliedenergistics2:facade:0, 线缆伪装板 - 青铜块
appliedenergistics2:facade:0, 线缆伪装板 - 铜块
appliedenergistics2:facade:0, 线缆伪装板 - 铅块
appliedenergistics2:facade:0, 线缆伪装板 - 钢块
appliedenergistics2:facade:0, 线缆伪装板 - 锡块
appliedenergistics2:facade:0, 线缆伪装板 - 铀块
appliedenergistics2:facade:0, 线缆伪装板 - 防爆石
appliedenergistics2:facade:0, 线缆伪装板 - 基础机械外壳
appliedenergistics2:facade:0, 线缆伪装板 - 高级机械外壳
appliedenergistics2:facade:0, 线缆伪装板 - 核反应堆压力容器
appliedenergistics2:facade:0, 线缆伪装板 - 银块
appliedenergistics2:facade:0, 线缆伪装板 - 橡胶树树叶
appliedenergistics2:facade:0, 线缆伪装板 - 橡胶树原木
appliedenergistics2:facade:0, 线缆伪装板 - 脚手架
appliedenergistics2:facade:0, 线缆伪装板 - 强化脚手架
appliedenergistics2:facade:0, 线缆伪装板 - 铁质脚手架
appliedenergistics2:facade:0, 线缆伪装板 - 强化铁质脚手架
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫
appliedenergistics2:facade:0, 线缆伪装板 - 强化建筑泡沫
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（黑色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（蓝色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（棕色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（青色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（灰色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（绿色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（淡蓝色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（淡灰色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（黄绿色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（品红色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（橙色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（粉红色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（紫色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（红色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（白色）
appliedenergistics2:facade:0, 线缆伪装板 - 建筑泡沫墙（黄色）
appliedenergistics2:facade:0, 线缆伪装板 - 耐火砖
appliedenergistics2:facade:0, 线缆伪装板 - 沼泽泥
appliedenergistics2:facade:0, 线缆伪装板 - 腐殖土
appliedenergistics2:facade:0, 线缆伪装板 - 磷矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铜矿石
appliedenergistics2:facade:0, 线缆伪装板 - 锡矿石
appliedenergistics2:facade:0, 线缆伪装板 - 磷灰石块
appliedenergistics2:facade:0, 线缆伪装板 - 铜块
appliedenergistics2:facade:0, 线缆伪装板 - 锡块
appliedenergistics2:facade:0, 线缆伪装板 - 青铜块
appliedenergistics2:facade:0, 线缆伪装板 - 灰砖
appliedenergistics2:facade:0, 线缆伪装板 - 蜜蜂蜂窝块
appliedenergistics2:facade:0, 线缆伪装板 - 激化蜂窝块
appliedenergistics2:facade:0, 线缆伪装板 - 纤维蜂窝块
appliedenergistics2:facade:0, 线缆伪装板 - 冻结蜂窝块
appliedenergistics2:facade:0, 线缆伪装板 - 滴水蜂窝块
appliedenergistics2:facade:0, 线缆伪装板 - 丝滑蜂窝块
appliedenergistics2:facade:0, 线缆伪装板 - 炎热蜂窝块
appliedenergistics2:facade:0, 线缆伪装板 - 苔藓蜂窝块
appliedenergistics2:facade:0, 线缆伪装板 - 醇厚蜂窝块
appliedenergistics2:facade:0, 线缆伪装板 - 木炭块
appliedenergistics2:facade:0, 线缆伪装板 - 原木堆
appliedenergistics2:facade:0, 线缆伪装板 - 装饰用原木堆
appliedenergistics2:facade:0, 线缆伪装板 - Ash Block
